   yymm   ddhh    dir  speed   PASQ   TEMP
   1701   2015     60     51     30    187
   1701   2016     20     37     25    189
   1701   2017     30     41     40    188
   1701   2018     30     53     40    181
   1701   2019     30     45     50    170
   1701   2020     20     61     40    161
   1701   2021     10     46     45    153
   1701   2022     20     33     40    151
   1701   2023     10     35     40    148
   1701   2024     30     67     40    145
   1701   2101     30     40     40    144
   1701   2102     30     40     40    143
   1701   2103     40     42     40    143
   1701   2104     10     46     40    140
   1701   2105     10     45     40    139
   1701   2106   9999      5     60    135
   1701   2107    350     18     60    137
   1701   2108     10     18     60    139
   1701   2109     30     34     40    143
   1701   2110     30     30     25    154
   1701   2111    130      6     15    167
   1701   2112    170     33     20    174
   1701   2113    170     32     20    172
   1701   2114    180     37     20    175
   1701   2115    180     25     20    172
   1701   2116    180     42     25    174
   1701   2117    170     25     40    170
   1701   2118    140      7     60    166
   1701   2119      0      0     60    155
   1701   2120      0      0     60    150
   1701   2121   9999      3     60    149
   1701   2122    350      9     60    154
   1701   2123    360     27     60    160
   1701   2124     10     33     50    156
   1701   2201    360     24     60    149
   1701   2202    350     23     60    141
   1701   2203    360     32     50    140
   1701   2204     10     45     50    136
   1701   2205     20     30     50    132
   1701   2206   9999     10     60    128
   1701   2207     20     33     50    126
   1701   2208     10     50     40    128
   1701   2209     30     63     40    138
   1701   2210     20     63     40    144
   1701   2211     20     55     30    154
   1701   2212     30     28     15    168
   1701   2213     70     11     10    175
   1701   2214    130     21     15    182
   1701   2215    170     47     20    177
   1701   2216    180     29     20    173
   1701   2217    210     23     40    171
   1701   2218    210     12     60    162
   1701   2219    280     10     60    151
   1701   2220    310      1     60    144
   1701   2221   9999      1     60    137
   1701   2222      0      0     60    137
   1701   2223      0      0     60    137
   1701   2224    310     13     60    147
   1701   2301    330      6     60    147
   1701   2302    320      5     60    144
   1701   2303     50     31     50    153
   1701   2304    340     13     60    146
   1701   2305    330     11     60    144
   1701   2306     10     21     60    145
   1701   2307    360     32     40    142
   1701   2308     20     27     50    140
   1701   2309    360     30     40    148
   1701   2310     10     20     20    159
   1701   2311   9999      2     15    166
   1701   2312    140     13     10    180
   1701   2313    170     34     20    178
   1701   2314    150     32     20    175
   1701   2315    170     27     20    172
   1701   2316    150     36     25    169
   1701   2317    100     28     40    168
   1701   2318    100     37     40    167
   1701   2319     60     25     50    165
   1701   2320     80     38     40    165
   1701   2321     80     44     40    166
   1701   2322     80     37     45    165
   1701   2323     90     48     45    164
   1701   2324     70     70     40    164
   1701   2401     80     59     40    162
   1701   2402     70     54     40    160
   1701   2403     80     46     40    159
   1701   2404     80     34     40    158
   1701   2405     90     30     40    157
   1701   2406     70     49     40    157
   1701   2407     80     48     40    157
   1701   2408     70     24     50    158
   1701   2409    110     39     40    163
   1701   2410     70     56     40    165
   1701   2411     90     45     25    168
   1701   2412    110     32     20    184
   1701   2413    100     32     25    181
   1701   2414    150     44     25    180
   1701   2415    100     41     25    174
   1701   2416    120     33     25    175
   1701   2417    100     36     40    171
   1701   2418     90     33     40    171
   1701   2419     70     30     40    169
   1701   2420     90     31     40    170
   1701   2421     80     38     40    169
   1701   2422     80     53     40    169
   1701   2423    100     56     40    168
   1701   2424     70     37     40    168
   1701   2501    100     54     40    167
   1701   2502     90     38     40    165
   1701   2503     80     44     40    164
   1701   2504     90     27     50    163
   1701   2505     90     21     50    161
   1701   2506     10      2     60    159
   1701   2507    310      5     60    153
   1701   2508    330      4     60    155
   1701   2509      0      0     40    169
   1701   2510    160      8     15    183
   1701   2511    170     27     15    184
   1701   2512    180     42     20    190
   1701   2513    180     54     30    186
   1701   2514    180     40     20    184
   1701   2515    170     49     20    180
   1701   2516    160     23     20    181
   1701   2517    120     16     40    177
   1701   2518    110     20     60    172
   1701   2519     50     14     60    167
   1701   2520    240     10     60    160
   1701   2521      0      0     60    163
   1701   2522     70     11     60    165
   1701   2523     50     15     60    165
   1701   2524    110     11     60    167
   1701   2601     90     28     60    168
   1701   2602    100     15     60    166
   1701   2603     80     20     55    166
   1701   2604     40     20     55    163
   1701   2605     20     12     60    160
   1701   2606    360     12     60    157
   1701   2607    330     15     60    149
   1701   2608     10     40     45    149
   1701   2609     10     24     40    158
   1701   2610     20     23     20    164
   1701   2611     50      8     15    174
   1701   2612    180     38     20    183
   1701   2613    170     46     20    178
   1701   2614    170     41     20    174
   1701   2615    170     39     20    174
   1701   2616    160     46     25    171
   1701   2617    160     35     40    167
   1701   2618    130     17     60    165
   1701   2619     40     12     60    160
   1701   2620    320      6     60    153
   1701   2621    330     11     60    155
   1701   2622     50     32     50    162
   1701   2623     60     23     60    161
   1701   2624     60     47     50    163
   1701   2701     70     52     40    162
   1701   2702     70     41     50    160
   1701   2703     60     33     50    158
   1701   2704     60     38     50    156
   1701   2705     30     23     60    149
   1701   2706    350     14     60    142
   1701   2707    350     24     60    141
   1701   2708     50     19     60    150
   1701   2709    120      2     40    162
   1701   2710     30     18     15    170
   1701   2711     20     26     15    187
   1701   2712     30     33     20    195
   1701   2713    180     33     20    193
   1701   2714    170     42     20    189
   1701   2715    180     44     20    182
   1701   2716    170     51     35    178
   1701   2717    200     13     40    177
   1701   2718    210     13     60    171
   1701   2719      0      0     60    158
   1701   2720   9999      1     60    154
   1701   2721   9999      1     60    144
   1701   2722      0      0     60    143
   1701   2723      0      0     60    143
   1701   2724    290     10     60    143
   1701   2801    310      5     60    147
   1701   2802     10      4     60    154
   1701   2803    320      5     60    150
   1701   2804    280      4     60    148
   1701   2805      0      0     60    146
   1701   2806    160     20     55    147
   1701   2807   9999      5     60    158
   1701   2808      0      0     60    159
   1701   2809    240      4     40    166
   1701   2810    160      2     20    175
   1701   2811     70     26     20    178
   1701   2812    120     22     20    179
   1701   2813    130      8     15    177
   1701   2814    100     15     20    175
   1701   2815   9999      1     20    167
   1701   2816     60      3     20    170
   1701   2817    150      9     40    173
   1701   2818    110      7     60    173
   1701   2819     70     17     60    172
   1701   2820     50     16     60    172
   1701   2821   9999      1     60    174
   1701   2822    120      6     60    175
   1701   2823     80     28     50    179
   1701   2824    120     31     40    181
   1701   2901   9999      1     60    180
   1701   2902    120      4     60    181
   1701   2903    100     22     50    183
   1701   2904    240      6     60    181
   1701   2905    210     20     50    181
   1701   2906     80     16     60    186
   1701   2907    130     23     50    185
   1701   2908    160     14     60    185
   1701   2909    120     31     40    190
   1701   2910    160     27     30    196
   1701   2911    120     35     30    199
   1701   2912    120     17     20    201
   1701   2913    120     26     15    205
   1701   2914    120     33     25    207
   1701   2915     70     59     40    203
   1701   2916    180     23     50    192
   1701   2917   9999      1     40    189
   1701   2918      0      0     60    187
   1701   2919      0      0     60    189
   1701   2920    160     20     50    190
   1701   2921     60     14     60    191
   1701   2922    210     10     60    191
   1701   2923    190     15     60    191
   1701   2924    240     16     60    191
   1701   3001    210      7     60    191
   1701   3002   9999      1     60    191
   1701   3003    190      8     60    191
   1701   3004    320      7     60    192
   1701   3005    330     10     60    197
   1701   3006     80     13     60    196
   1701   3007      0      0     60    196
   1701   3008   9999      1     60    197
   1701   3009   9999      3     40    200
   1701   3010      0      0     60    210
   1701   3011   9999      1     15    221
   1701   3012    130     13     15    229
   1701   3013     20     39     25    227
   1701   3014     20     26     30    228
   1701   3015     10     36     30    228
   1701   3016     20     31     30    228
   1701   3017     10     33     40    221
   1701   3018     40     27     50    213
   1701   3019    150      7     60    204
   1701   3020     70     79     40    187
   1701   3021     60     80     40    172
   1701   3022     70     72     40    173
   1701   3023     70     55     40    172
   1701   3024     70     60     40    171
   1701   3101     70     61     40    172
   1701   3102     70     65     40    168
   1701   3103     70     63     40    164
   1701   3104     70     56     40    158
   1701   3105     80     38     40    160
   1701   3106     90     35     40    158
   1701   3107     70     51     40    157
   1701   3108     70     49     40    159
   1701   3109     50     35     40    158
   1701   3110     60     31     40    161
   1701   3111     20     28     50    153
   1701   3112     20     33     40    155
   1701   3113     30     37     30    159
   1701   3114     80     24     30    169
   1701   3115     20     34     30    174
   1701   3116    360     20     30    177
   1701   3117     60     35     40    176
   1701   3118     90     34     40    168
   1701   3119     80     44     40    166
   1701   3120     80     33     40    167
   1701   3121     60     25     50    167
   1701   3122     50     23     50    167
   1701   3123     70      7     60    166
   1701   3124     40     11     60    166
   1702    101     10     12     60    166
   1702    102     20      6     60    165
   1702    103      0      0     60    163
   1702    104    350     11     60    163
   1702    105    360     14     60    165
   1702    106     20     32     40    164
   1702    107    360     30     40    164
   1702    108     30     29     50    164
   1702    109     20     25     40    171
   1702    110     30     20     20    180
   1702    111     60     16     15    191
   1702    112     40     37     25    197
   1702    113     40     31     20    206
   1702    114    190     44     20    200
   1702    115    180     39     25    194
   1702    116    180     35     25    189
   1702    117    170     27     40    189
   1702    118    100     29     50    182
   1702    119    100     22     50    179
   1702    120     70     18     60    178
   1702    121     80     36     45    176
   1702    122     70     43     45    175
   1702    123     80     29     55    175
   1702    124    100     30     40    174
   1702    201     70     54     40    173
   1702    202     80     33     40    170
   1702    203    100     41     40    169
   1702    204     70     50     40    166
   1702    205     70     51     40    165
   1702    206     70     50     40    164
   1702    207     80     46     40    161
   1702    208     70     47     40    161
   1702    209     70     44     40    161
   1702    210     80     43     40    162
   1702    211     80     43     40    164
   1702    212     90     50     40    164
   1702    213     70     37     30    167
   1702    214     90     39     30    167
   1702    215     80     37     30    165
   1702    216     90     39     30    165
   1702    217     80     38     40    165
   1702    218     90     44     40    165
   1702    219     90     39     40    165
   1702    220     80     55     40    165
   1702    221    100     56     40    165
   1702    222    100     60     40    164
   1702    223     90     56     40    165
   1702    224     80     70     40    164
   1702    301     90     59     40    163
   1702    302     90     68     40    162
   1702    303     70     91     40    161
   1702    304     90     57     40    159
   1702    305     90     51     40    156
   1702    306     60     46     40    156
   1702    307     40     19     60    153
   1702    308     50     18     60    154
   1702    309     20     15     40    160
   1702    310     40     26     30    165
   1702    311     40     14     20    169
   1702    312     30     14     15    178
   1702    313     30     22     20    183
   1702    314     30     29     20    189
   1702    315     80     30     25    190
   1702    316    180     21     20    190
   1702    317    200     14     40    183
   1702    318     90      7     60    174
   1702    319    100     12     60    170
   1702    320    130     12     60    168
   1702    321      0      0     60    163
   1702    322      0      0     60    160
   1702    323      0      0     60    160
   1702    324   9999      1     60    163
   1702    401      0      0     60    163
   1702    402    100     26     50    166
   1702    403     90     14     60    163
   1702    404    130     15     60    163
   1702    405    250     10     60    159
   1702    406    340      4     60    155
   1702    407   9999      1     60    152
   1702    408    260      4     60    160
   1702    409      0      0     40    174
   1702    410    190     15     15    189
   1702    411    140     22     15    188
   1702    412    120     14     10    194
   1702    413    120     18     10    194
   1702    414    110     37     25    194
   1702    415    100     39     25    191
   1702    416    110     25     20    187
   1702    417     20     12     40    186
   1702    418    310      7     60    188
   1702    419    350     51     40    197
   1702    420     40     11     60    193
   1702    421     60     22     40    184
   1702    422     50     18     60    180
   1702    423     50     23     50    177
   1702    424    240      7     60    173
   1702    501      0      0     60    168
   1702    502    280      9     60    163
   1702    503     50      9     60    168
   1702    504      0      0     60    167
   1702    505     40      6     60    168
   1702    506   9999      1     60    164
   1702    507   9999     10     60    170
   1702    508     20     29     50    172
   1702    509   9999      4     40    183
   1702    510     30     38     25    192
   1702    511     20     26     20    203
   1702    512     30     38     20    208
   1702    513     40     32     20    217
   1702    514     50     11     15    225
   1702    515    190     19     20    212
   1702    516    190     34     30    211
   1702    517    170     18     40    214
   1702    518    240     15     60    208
   1702    519     50      6     60    195
   1702    520   9999      2     60    183
   1702    521   9999      1     60    175
   1702    522      0      0     60    171
   1702    523      0      0     60    173
   1702    524    100     51     40    176
   1702    601     70     51     40    177
   1702    602     80     45     45    175
   1702    603     80     54     40    172
   1702    604     80     25     55    173
   1702    605     40     14     60    174
   1702    606    340      1     60    165
   1702    607   9999      4     60    170
   1702    608   9999      2     60    175
   1702    609    130      6     40    189
   1702    610    150     32     25    194
   1702    611    120     28     20    180
   1702    612    100     30     20    185
   1702    613    110     27     20    182
   1702    614    100     15     15    186
   1702    615    110     28     20    189
   1702    616    100     46     25    178
   1702    617     90     38     40    182
   1702    618     90     42     40    180
   1702    619     90     50     40    178
   1702    620     80     36     40    177
   1702    621     90     55     40    175
   1702    622     90     69     40    172
   1702    623     70     92     40    170
   1702    624     80     65     40    168
   1702    701     80     50     40    167
   1702    702     80     82     40    166
   1702    703     80     73     40    163
   1702    704     80     59     40    162
